id,df_id,dl_id,municipio_id
900,5,10,4
901,5,10,4
902,6,10,4
903,6,10,4
904,6,10,4
905,6,10,4
906,6,10,4
907,6,10,4
908,6,10,4
909,6,10,4
910,6,10,4
911,6,10,4
912,6,10,4
913,6,10,4
914,6,10,4
915,6,10,4
916,6,10,4
917,6,10,4
918,6,10,4
919,6,10,4
920,6,10,4
921,6,10,4
922,6,10,4
923,6,10,4
924,6,10,4
925,6,10,4
926,6,10,4
927,5,10,4
929,5,9,4
930,5,9,4
931,5,9,4
932,5,9,4
933,5,9,4
934,5,9,4
935,5,9,4
936,5,9,4
937,5,9,4
938,5,9,4
939,5,9,4
940,5,9,4
941,5,9,4
942,5,10,4
943,5,10,4
944,6,10,4
945,6,10,4
946,6,10,4
947,6,10,4
948,6,10,4
949,6,10,4
950,6,10,4
951,6,10,4
952,6,10,4
953,6,10,4
954,6,10,4
955,6,10,4
956,6,10,4
957,5,10,4
958,5,9,4
959,5,9,4
960,5,9,4
961,5,9,4
962,5,9,4
963,5,9,4
964,5,9,4
965,5,9,4
966,5,12,4
967,5,12,4
968,5,12,4
969,5,12,4
970,5,9,4
971,5,9,4
972,5,9,4
973,5,9,4
974,5,9,4
975,5,9,4
976,5,10,4
977,6,10,4
978,6,10,4
979,6,10,4
980,6,10,4
981,6,10,4
982,6,10,4
983,6,10,4
984,6,10,4
985,6,10,4
986,6,10,4
987,6,10,4
988,6,10,4
989,6,10,4
990,6,10,4
991,6,10,4
992,6,10,4
993,6,10,4
994,6,10,4
995,6,10,4
996,6,10,4
997,6,10,4
998,6,10,4
999,8,10,4
1000,5,12,4
1001,5,12,4
1002,8,12,4
1003,8,12,4
1004,8,12,4
1005,8,13,4
1006,8,13,4
1007,8,13,4
1008,8,13,4
1009,8,13,4
1010,8,13,4
1011,8,13,4
1012,8,12,4
1013,8,12,4
1014,5,9,4
1015,5,9,4
1016,5,10,4
1017,6,10,4
1018,6,10,4
1019,5,9,4
1020,5,9,4
1021,5,9,4
1022,5,9,4
1023,6,10,4
1024,6,10,4
1025,5,9,4
1026,6,10,4
1027,6,10,4
1028,6,10,4
1029,6,10,4
1030,8,10,4
1031,5,12,4
1032,8,12,4
1033,8,13,4
1034,8,12,4
1035,8,12,4
1036,8,12,4
1037,8,12,4
1038,5,9,4
1039,5,9,4
1040,5,9,4
1041,5,9,4
1042,5,9,4
1043,5,9,4
1045,5,9,4
1046,5,9,4
1047,5,8,4
1048,5,8,4
1051,5,8,4
1052,5,9,4
1053,5,9,4
1054,5,9,4
1055,5,9,4
1056,5,9,4
1057,5,9,4
1058,5,9,4
1059,5,9,4
1060,5,9,4
1061,5,9,4
1062,5,9,4
1063,5,9,4
1064,5,9,4
1065,5,9,4
1066,5,9,4
1067,5,9,4
1068,5,9,4
1069,5,9,4
1070,5,9,4
1071,5,9,4
1072,5,9,4
1073,5,8,4
1074,5,8,4
1075,5,9,4
1076,5,9,4
1077,5,9,4
1078,5,9,4
1079,5,9,4
1080,5,9,4
1081,5,9,4
1082,5,9,4
1083,5,9,4
1084,5,9,4
1085,5,9,4
1086,5,9,4
1087,5,9,4
1088,5,9,4
1089,5,9,4
1090,5,9,4
1091,5,9,4
1092,5,9,4
1093,5,9,4
1094,5,9,4
1095,5,9,4
1096,5,9,4
1097,5,8,4
1098,5,8,4
1099,5,9,4
1100,5,9,4
1101,5,9,4
1102,5,9,4
1103,5,9,4
1104,5,9,4
1105,5,9,4
1106,5,9,4
1107,5,9,4
1108,5,9,4
1109,5,9,4
1110,5,9,4
1111,5,9,4
1112,5,9,4
1113,5,9,4
1114,5,9,4
1115,5,9,4
1116,5,9,4
1117,5,9,4
1118,5,9,4
1119,5,9,4
1120,5,8,4
1121,5,8,4
1123,5,8,4
1124,5,8,4
1125,5,8,4
1126,5,8,4
1127,5,8,4
1128,5,8,4
1129,5,8,4
1130,5,9,4
1131,5,9,4
1132,5,9,4
1133,5,9,4
1134,5,9,4
1135,5,9,4
1136,5,9,4
1137,5,9,4
1138,5,9,4
1139,5,9,4
1140,5,9,4
1141,5,13,4
1142,5,8,4
1143,5,8,4
1144,5,8,4
1145,5,8,4
1146,5,8,4
1147,5,8,4
1148,5,8,4
1149,5,8,4
1151,5,8,4
1153,4,8,4
1154,4,8,4
1155,5,8,4
1156,4,8,4
1158,4,8,4
1159,4,8,4
1160,5,13,4
1161,5,8,4
1162,5,13,4
1164,5,13,4
1165,5,12,4
1166,5,12,4
1167,5,12,4
1168,5,12,4
1169,8,13,4
1170,8,13,4
1171,8,13,4
1172,8,13,4
1173,4,13,4
1174,4,13,4
1175,4,7,4
1176,8,13,4
1177,4,7,4
1178,4,14,4
1179,4,14,4
1180,4,14,4
1181,8,13,4
1182,4,13,4
1183,8,13,4
1184,8,13,4
1185,8,13,4
1186,8,13,4
1187,8,13,4
1188,8,13,4
1190,8,13,4
1191,8,13,4
1192,8,13,4
1193,8,12,4
1194,9,15,5
1195,8,12,4
1197,8,12,4
1198,8,12,4
1199,8,12,4
1200,8,12,4
1201,8,12,4
1202,5,12,4
1203,5,12,4
1204,8,12,4
1206,8,12,4
1207,8,12,4
1208,8,12,4
1209,8,12,4
1210,8,12,4
1211,8,12,4
1212,8,12,4
1213,8,13,4
1214,8,13,4
1215,8,13,4
1216,8,13,4
1217,8,13,4
1218,8,13,4
1219,8,13,4
1220,8,13,4
1221,8,13,4
1222,4,14,4
1223,4,14,4
1224,4,14,4
1225,4,14,4
1227,8,14,4
1228,8,13,4
1229,8,13,4
1231,8,13,4
1232,8,13,4
1233,8,13,4
1234,8,13,4
1235,8,13,4
1237,8,13,4
1238,8,13,4
1239,8,13,4
1240,8,12,4
1241,8,12,4
1242,8,12,4
1243,8,12,4
1244,8,12,4
1245,6,11,4
1246,6,11,4
1247,6,11,4
1248,6,11,4
1249,6,11,4
1250,6,11,4
1251,6,11,4
1252,6,11,4
1253,6,11,4
1254,6,11,4
1255,6,11,4
1256,6,11,4
1257,6,11,4
1258,6,11,4
1259,9,15,5
1260,9,15,5
1261,9,15,5
1262,9,15,5
1263,9,15,5
1264,9,15,5
1265,9,15,5
1266,9,15,5
1267,9,15,5
1268,9,15,5
1269,9,15,5
1270,9,15,5
1271,9,15,5
1272,9,15,5
1273,9,15,5
1274,8,12,4
1275,8,12,4
1276,8,12,4
1277,8,12,4
1283,8,12,4
1284,8,12,4
1285,8,12,4
1286,8,12,4
1287,8,12,4
1288,8,12,4
1289,8,12,4
1290,9,15,5
