casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
67,1,7,15,26 B,"COLEGIO TICALLI, CALLE 17, NUMERO 1724, ZONA CENTRO, CÓDIGO POSTAL 22800, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDAS RUÍZ Y GASTELUM",1,67
68,1,7,15,26 C1,"COLEGIO TICALLI, CALLE 17, NUMERO 1724, ZONA CENTRO, CÓDIGO POSTAL 22800, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDAS RUÍZ Y GASTELUM",1,68
69,1,3,15,27 B,"PARQUE PÚBLICO, AVENIDA PRIMERA,SIN NÚMERO, FRACCIONAMIENTO FOVISSSTE III, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ESQUINA PRIVADA DOS.",1,69
70,1,3,15,27 C1,"PARQUE PÚBLICO, AVENIDA PRIMERA,SIN NÚMERO, FRACCIONAMIENTO FOVISSSTE III, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ESQUINA PRIVADA DOS.",1,70
71,1,3,15,28 B,"DOMICILIO PARTICULAR, CALLE ÁMBAR, DEPARTAMENTO 104 EDIFICIO 1, CONDOMINIOS LOS LAURELES, CÓDIGO POSTAL 22839, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA REFORMA Y CALLE OLIVOS.",1,71
72,1,3,15,29 B,"CENTRO DE ATENCIÓN MÚLTIPLE DOCTOR JUAN IÑIGUEZ ANTÓN., CALLE PARRAS DE LA FUENTE, NÚMERO 243, FRACCIONAMIENTO RESIDENCIAL LOMAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE DEL LLANO Y AVENIDA 5 DE FEBRERO.",1,72
73,1,3,15,29 C1,"CENTRO DE ATENCIÓN MÚLTIPLE DOCTOR JUAN IÑIGUEZ ANTÓN., CALLE PARRAS DE LA FUENTE, NÚMERO 243, FRACCIONAMIENTO RESIDENCIAL LOMAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE DEL LLANO Y AVENIDA 5 DE FEBRERO.",1,73
74,1,3,16,30 B,"DOMICILIO PARTICULAR, CALLE PARRAS DE LA FUENTE, NÚMERO 571, COLONIA PIEDRAS NEGRAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE GENERAL ALLENDE Y CALLE SALTILLO",1,74
75,1,3,16,30 C1,"DOMICILIO PARTICULAR, CALLE PARRAS DE LA FUENTE, NÚMERO 571, COLONIA PIEDRAS NEGRAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE GENERAL ALLENDE Y CALLE SALTILLO",1,75
76,1,3,16,31 B,"DOMICILIO PARTICULAR, CALLE PUENTE CUIJE, NÚMERO 911, COLONIA PIEDRAS NEGRAS, CÓDIGO POSTAL 22830, ENSENADA, BAJA CALIFORNIA, ENTRE CALLE RÍO BRAVO Y AVENIDA ALAMEDA.",1,76
